shape_id,begin,end
38-S60-7-sj2-1.1.R,"1","117"
22-980-3-sj2-1.1.H,"1","356"
22-980-0-sj2-1.1.H,"1","516"
22-970-4-sj2-1.1.H,"1","151"
22-970-3-sj2-1.1.H,"1","537"
22-970-2-sj2-1.1.H,"1","245"
22-982-7-sj2-1.1.H,"1","306"
22-982-5-sj2-1.1.H,"1","762"
22-982-3-sj2-1.1.H,"1","683"
22-981-8-sj2-1.1.H,"1","879"
38-S62-2-sj2-1.1.R,"1","275"
22-981-3-sj2-1.1.H,"1","657"
22-981-0-sj2-1.1.H,"1","814"
22-980-8-sj2-1.1.H,"1","750"
22-980-6-sj2-1.1.H,"1","538"
22-T80-sj2-1.10.R,"1","182"
21-103-8-sj2-1.1.R,"1","277"
22-T80-sj2-1.1.H,"1","431"
21-103-7-sj2-1.1.R,"1","456"
22-S10-sj2-1.2.H,"1","109"
21-103-6-sj2-1.1.R,"1","231"
22-S10-sj2-1.1.R,"1","108"
20-457-3-sj2-1.1.H,"1","680"
21-103-5-sj2-1.1.R,"1","848"
21-103-4-sj2-1.1.R,"1","523"
22-983-5-sj2-1.1.H,"1","639"
21-103-3-sj2-1.1.R,"1","151"
22-983-4-sj2-1.1.H,"1","756"
21-103-2-sj2-1.1.R,"1","312"
22-983-3-sj2-1.1.H,"1","77"
21-103-1-sj2-1.1.R,"1","677"
21-104-9-sj2-1.1.R,"1","737"
21-104-8-sj2-1.1.R,"1","465"
21-104-4-sj2-1.1.R,"1","771"
21-104-3-sj2-1.1.R,"1","428"
21-104-2-sj2-1.1.R,"1","257"
21-104-1-sj2-1.1.R,"1","258"
21-104-0-sj2-1.1.R,"1","171"
21-103-9-sj2-1.1.R,"1","140"
21-200-7-sj2-1.1.H,"1","1041"
21-200-5-sj2-1.1.H,"1","164"
21-200-3-sj2-1.1.H,"1","391"
21-200-1-sj2-1.1.H,"1","343"
20-461-1-sj2-1.1.H,"1","745"
21-105-3-sj2-1.1.R,"1","202"
21-105-2-sj2-1.1.R,"1","80"
21-105-1-sj2-1.1.R,"1","655"
21-105-0-sj2-1.1.R,"1","337"
21-202-2-sj2-1.1.H,"1","427"
21-201-9-sj2-1.1.H,"1","565"
21-201-7-sj2-1.1.H,"1","533"
