locality,Jobs,cutoff,X,T_freq,L_freq
VOYAGER POINT,20365.668591224,45,1,0.0,1.0
PLEASURE POINT,5597.01978417266,45,1,0.0,1.0
WEST HOXTON,153445.270374332,45,1,0.0,1.0
CECIL HILLS,55251.2416097191,45,1,0.0,1.0
HOXTON PARK,174433.674744642,45,1,0.0,1.0
HINCHINBROOK,146917.425407478,45,1,0.0,1.0
GREEN VALLEY,111075.74767339801,45,1,0.0,1.0
HORNINGSEA PARK,101998.013379716,45,1,0.0,1.0
MIDDLETON GRANGE,178257.692771084,45,1,0.0,1.0
DENHAM COURT,3049.6751054852302,45,1,0.0,1.0
EDMONDSON PARK,85488.8865425783,45,1,0.0,1.0
LUDDENHAM,8610.50629370629,45,1,0.0,1.0
CARNES HILL,143477.377796902,45,1,0.0,1.0
ELIZABETH HILLS,57486.0115398485,45,1,0.0,1.0
CECIL PARK,323.0,45,1,0.0,1.0
LEN WATERS ESTATE,,45,1,0.0,1.0
LEPPINGTON,28787.4823747681,45,1,0.0,1.0
BRINGELLY,68699.6789492368,45,1,0.0,1.0
GREENDALE,912.416666666667,45,1,0.0,1.0
BADGERYS CREEK,201608.756892231,45,1,0.0,1.0
KEMPS CREEK,225479.989432075,45,1,0.0,1.0
WALLACIA,1354.30265486726,45,1,0.0,1.0
AUSTRAL,219188.989622668,45,1,0.0,1.0
ROSSMORE,198438.915330242,45,1,0.0,1.0
SILVERDALE,137.551724137931,45,1,0.0,1.0
BUSBY,468704.075530035,60,1,0.0,1.0
MILLER,515501.318562022,60,1,0.0,1.0
CASULA,426834.97047157295,60,1,0.0,1.0
CARTWRIGHT,1143426.90852084,60,1,0.0,1.0
HECKENBERG,362849.92158730206,60,1,0.0,1.0
SADLEIR,297589.840451495,60,1,0.0,1.0
LURNEA,625064.612012275,60,1,0.0,1.0
ASHCROFT,252416.17270045602,60,1,0.0,1.0
LIVERPOOL,1017072.74534855,60,1,0.0,1.0
MOOREBANK,916608.7530818691,60,1,0.0,1.0
WARWICK FARM,859196.778548312,60,1,0.0,1.0
WATTLE GROVE,108978.89801057699,60,1,0.0,1.0
CHIPPING NORTON,571226.07331813,60,1,0.0,1.0
HOLSWORTHY,395342.08964534,60,1,0.0,1.0
HAMMONDVILLE,100963.763895602,60,1,0.0,1.0
MOUNT PRITCHARD,583634.315217391,60,1,0.0,1.0
PRESTONS,341440.78855647,60,1,0.0,1.0
VOYAGER POINT,278272.04214780603,60,1,0.0,1.0
PLEASURE POINT,88691.821942446,60,1,0.0,1.0
WEST HOXTON,348033.934652406,60,1,0.0,1.0
CECIL HILLS,254392.469096431,60,1,0.0,1.0
HOXTON PARK,425066.80773082294,60,1,0.0,1.0
HINCHINBROOK,405535.593384468,60,1,0.0,1.0
GREEN VALLEY,378657.169973661,60,1,0.0,1.0
HORNINGSEA PARK,232114.044955847,60,1,0.0,1.0
MIDDLETON GRANGE,429790.179739366,60,1,0.0,1.0
DENHAM COURT,29704.9019409283,60,1,0.0,1.0
EDMONDSON PARK,200655.041326512,60,1,0.0,1.0
LUDDENHAM,11889.5636363636,60,1,0.0,1.0
