shape_pt_node,shape_pt_seq,route_id,index,y,x,osmid,highway,ref,lon,lat,geometry
1847390961,34,TT_r-2056,1847390961,-3755630.7433325374,300325.2971915525,1847390961,,,150.8399596,-33.9221995,POINT (300325.2971915525 -3755630.743332537)
1847390962,35,TT_r-2056,1847390962,-3755630.7485825294,300326.10203355184,1847390962,,,150.8399683,-33.9221997,POINT (300326.1020335518 -3755630.748582529)
1847390964,36,TT_r-2056,1847390964,-3755630.820571141,300326.89903053263,1847390964,,,150.8399769,-33.9222005,POINT (300326.8990305326 -3755630.820571141)
1847390966,37,TT_r-2056,1847390966,-3755630.970583637,300327.67917022854,1847390966,,,150.83998530000002,-33.922202,POINT (300327.6791702285 -3755630.970583637)
1847390968,38,TT_r-2056,1847390968,-3755631.187334744,300328.4514648772,1847390968,,,150.83999359999999,-33.9222041,POINT (300328.4514648772 -3755631.187334744)
1847390970,39,TT_r-2056,1847390970,-3755631.493589604,300329.1886442717,1847390970,,,150.8400015,-33.922207,POINT (300329.1886442717 -3755631.493589604)
1847390972,40,TT_r-2056,1847390972,-3755631.866972284,300329.8994872067,1847390972,,,150.8400091,-33.9222105,POINT (300329.8994872067 -3755631.866972283)
1847390974,41,TT_r-2056,1847390974,-3755632.2967813383,300330.5652688469,1847390974,,,150.84001619999998,-33.9222145,POINT (300330.5652688469 -3755632.296781339)
1847390976,42,TT_r-2056,1847390976,-3755632.8051980687,300331.186456073,1847390976,,,150.8400228,-33.9222192,POINT (300331.186456073 -3755632.805198069)
1847390978,43,TT_r-2056,1847390978,-3755633.358950502,300331.7623485512,1847390978,,,150.84002890000002,-33.922224299999996,POINT (300331.7623485512 -3755633.358950502)
1847390980,44,TT_r-2056,1847390980,-3755633.9697130993,300332.2654426662,1847390980,,,150.8400342,-33.9222299,POINT (300332.2654426662 -3755633.969713099)
1847390994,45,TT_r-2056,1847390994,-3755634.626005985,300332.7139963599,1847390994,,,150.8400389,-33.9222359,POINT (300332.7139963599 -3755634.626005985)
1847390998,46,TT_r-2056,1847390998,-3755635.328023757,300333.09876394604,1847390998,,,150.84004290000001,-33.92224229999999,POINT (300333.098763946 -3755635.328023757)
1847391001,47,TT_r-2056,1847391001,-3755636.064870357,300333.410266315,1847391001,,,150.8400461,-33.922249,POINT (300333.410266315 -3755636.064870357)
1847391003,48,TT_r-2056,1847391003,-3755636.8254551226,300333.64827004034,1847391003,,,150.84004850000002,-33.9222559,POINT (300333.6482700403 -3755636.825455123)
1847391005,49,TT_r-2056,1847391005,-3755637.59868739,300333.81254170265,1847391005,,,150.84005009999998,-33.92226289999999,POINT (300333.8125417026 -3755637.59868739)
1847391008,50,TT_r-2056,1847391008,-3755638.3958524186,300333.89406907087,1847391008,,,150.84005080000003,-33.9222701,POINT (300333.8940690709 -3755638.395852419)
1847391010,51,TT_r-2056,1847391010,-3755639.194574292,300333.90163097513,1847391010,,,150.8400507,-33.9222773,POINT (300333.9016309751 -3755639.194574292)
1847391012,52,TT_r-2056,1847391012,-3755639.983956958,300333.8257483117,1847391012,,,150.8400497,-33.922284399999995,POINT (300333.8257483117 -3755639.983956958)
3696362371,53,TT_r-2056,3696362371,-3755668.7237715325,300534.6598141513,3696362371,,,150.84221440000002,-33.9225815,POINT (300534.6598141513 -3755668.723771533)
1847391041,54,TT_r-2056,1847391041,-3755675.814414711,300584.2394320349,1847391041,,,150.8427488,-33.9226548,POINT (300584.2394320349 -3755675.814414711)
3696362372,55,TT_r-2056,3696362372,-3755680.4444555324,300615.7580478408,3696362372,,,150.8430885,-33.9227025,POINT (300615.7580478408 -3755680.444455532)
300674608,56,TT_r-2056,300674608,-3755715.594062829,300855.0828237316,300674608,,,150.8456679,-33.923064600000004,POINT (300855.0828237316 -3755715.594062828)
300674612,57,TT_r-2056,300674612,-3755718.976646935,300879.99840954685,300674612,,,150.8459365,-33.923099799999996,POINT (300879.9984095469 -3755718.976646935)
1847391044,58,TT_r-2056,1847391044,-3755723.661811265,300905.76452994545,1847391044,,,150.846214,-33.9231469,POINT (300905.7645299454 -3755723.661811265)
1847391050,59,TT_r-2056,1847391050,-3755735.653205074,300940.79483492905,1847391050,,,150.84659,-33.923261600000004,POINT (300940.7948349291 -3755735.653205074)
1847391055,60,TT_r-2056,1847391055,-3755751.2853237344,300972.0628391232,1847391055,,,150.8469245,-33.9234084,POINT (300972.0628391231 -3755751.285323734)
1847406749,61,TT_r-2056,1847406749,-3755753.018346177,300974.6058460165,1847406749,,,150.84695159999998,-33.9234245,POINT (300974.6058460166 -3755753.018346177)
1847391059,62,TT_r-2056,1847391059,-3755772.7625014624,301003.4441054415,1847391059,,,150.8472589,-33.9236079,POINT (301003.4441054415 -3755772.762501462)
1847391073,63,TT_r-2056,1847391073,-3755828.4841388105,301075.9177290475,1847391073,,,150.8480298,-33.9241238,POINT (301075.9177290475 -3755828.484138811)
1821430349,64,TT_r-2056,1821430349,-3755849.3984075636,301102.93941949285,1821430349,traffic_signals,,150.84831719999997,-33.9243174,POINT (301102.9394194928 -3755849.398407564)
1836850094,65,TT_r-2056,1836850094,-3755855.821004541,301112.5455819699,1836850094,,,150.8484196,-33.9243771,POINT (301112.5455819699 -3755855.821004541)
1836850096,66,TT_r-2056,1836850096,-3755864.389392169,301125.11956050154,1836850096,,,150.84855359999997,-33.92445670000001,POINT (301125.1195605015 -3755864.38939217)
1836850100,67,TT_r-2056,1836850100,-3755883.908956968,301118.64721070806,1836850100,,,150.84847919999999,-33.9246314,POINT (301118.6472107081 -3755883.908956968)
