shape_id,begin,end,stop_id,stop_name,stop_lat,stop_lon,distAlongR,parent_route
20th-LVPL-AERO,1,327,20200814255,15thAv_Bringelly_a,-33.91019163,150.745996,20246.09777,20th-LVPL-AERO
20th-LVPL-AERO,1,327,20200814258,AerotropolisStation_b,-33.92042120000001,150.73688090000002,22153.30713,20th-LVPL-AERO
25th-BPRK-CBMT,1,320,20200814280,BusinessParkStation_b,-33.88336706,150.7384856,247.88203140000002,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814282,25thAv_ETway_Interchange_b,-33.88642859,150.7604154,2501.766564,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814237,KempsCreek-NW-EW,-33.88979905,150.7789893,4617.870054999999,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814234,KempsCreek-NE-WE,-33.89133065,150.7904357,5750.949009,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814327,DTway_ElizabethDrive_a,-33.88097491,150.7926725,6934.689987000001,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814284,ETway_MamreRoad_b,-33.88046288,150.809186,8513.4227,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814302,ETway_CecilRoad_b,-33.87467622,150.8388989,11517.98515,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814299,ETway_CecilHills_b,-33.88352747,150.857888,13640.018890000001,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814298,ETway_BonnyriggHeights_b,-33.88536386,150.86988169999998,14801.019690000001,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814286,ETway_LPTway_b,-33.88942837,150.8831937,16132.32824,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814290,ETway_Bonnyrigg_b,-33.89325479,150.8916649,17043.375219999998,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814288,ETway_MountPritchard_b,-33.89480678,150.9032201,18126.04676,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814296,ETway_TownviewRoad_b,-33.89694046,150.9126904,19052.08334,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814294,ETway_CabramattaWest_b,-33.89926278,150.92183400000002,19965.603580000003,25th-BPRK-CBMT
25th-BPRK-CBMT,1,320,20200814292,ETway_Cabramatta_b,-33.89519865,150.9384586,21614.94624,25th-BPRK-CBMT
25th-CBMT-BPRK,1,334,20200814291,ETWay_Cabramatta_a,-33.8951539,150.9385034,23.68100208,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814293,ETway_CabramattaWest_a,-33.89933379,150.9218006,1785.4067559999999,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814295,ETway_TownviewRoad_a,-33.89694911,150.912653,2702.576845,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814287,ETway_MountPritchard_a,-33.89485316,150.90313569999998,3633.362964,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814289,ETway_Bonnyrigg_a,-33.89327506,150.89162439999998,4712.555201,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814285,ETway_LPTway_a,-33.88943468,150.8831053,5646.838455,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814297,ETway_BonnyriggHeights_a,-33.88544686,150.8696643,6985.751209,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814300,ETway_CecilHills_a,-33.88372728,150.8574727,8164.77659,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814301,ETway_CecilRoad_a,-33.87475658,150.8387649,10271.11162,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814283,ETway_MamreRoad_a,-33.88060189,150.8090608,13277.17109,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814328,DTway_ElizabethDrive_b,-33.88095915,150.79269219999998,14836.75535,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814233,KempsCreek-NE-EW,-33.89134184,150.7904917,16018.08657,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814238,KempsCreek-NW-WE,-33.88978774,150.778978,17156.69577,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814281,25thAv_ETway_Interchange_a,-33.88654472,150.76052099999998,19260.19263,25th-CBMT-BPRK
25th-CBMT-BPRK,1,334,20200814279,BusinessParkStation_a,-33.88343221,150.7384801,21530.19086,25th-CBMT-BPRK
AERO-MG,1,164,20200814257,AerotropolisStation_a,-33.92049719,150.73677450000002,22.03212261,AERO-MG
AERO-MG,1,164,20200814256,15thAv_Bringelly_b,-33.91018533,150.7459844,1939.6769219999999,AERO-MG
AERO-MG,1,164,20200814193,Rossmore-NW-WE,-33.91237445,150.77140769999997,4390.0425399999995,AERO-MG
AERO-MG,1,164,20200814206,Rossmore-NE-WE,-33.91407917,150.78536680000002,5695.011535000001,AERO-MG
AERO-MG,1,164,20200814221,Austral-NW-WE,-33.91795364,150.8089158,8019.105197,AERO-MG
AERO-MG,1,164,20200814218,Austral-NE-WE,-33.91876096,150.8147676,8567.644268,AERO-MG
AERO-MG,1,164,20200814254,15thAv_MiddletonGrange_b,-33.92220673,150.8396429,10899.671409999999,AERO-MG
AERO-MG,1,164,202008281,Bryant Av,-33.92035842,150.8403634,11143.01482,AERO-MG
